conversation_id,turn_id,user_input,paraphrase,translation_en,intent,entities,assistant_response,was_helpful,user_rating,user_satisfaction,needs_clarification,context_city,context_task,time_period
7dbd0a5c-be3d-425f-a8c0-be39f8ebbc95,1,lige Jeg har brug for en alarm klokken jo 09:15,lige Jeg har brug for en alarm klokken jo 09:15,[EN] en Jeg jo brug har klokken [...],alarm,"[('time', '09:15'), ('number', '1'), ('number', '5'), ('number', '15')]",Jeg sætter vækkeur til 09:15. Godnat! ,False,4.0,7.2,False,,,evening
b151cde6-ec9e-47b6-a7c2-b7d1e4b70177,1,Mind mig om købe ind når nå klokken er jo 07:00,Mind mig lige om købe ind når nå klokken er jo 07:00,[EN] nå mig ind når [...],påmindelse,"[('task', 'købe ind'), ('time', '07:00'), ('number', '7')]"," Efter købe ind, Du bliver mindet om købe ind klokken 07:00.",True,4.0,7.4,False,,købe ind,evening
70a4109d-d2b9-4940-ad7b-a884866f3ab3,1,Hvad er 85 plus 16?,Hvad er 85 plus 16 lige nu?,[EN] Hvad [...],spørgsmål,"[('number', '1'), ('number', '5'), ('number', '6'), ('number', '16')]",85 + 1 = 86.,True,4.0,7.3,False,,,evening
0d55b003-f262-4647-81c3-7d1f824127a1,3,Hvem altså er den nuværende monark måske i Finland?,Hvem altså er den nuværende monark måske i Finland venligst?,[EN] Finland? i Hvem er nuværende [...],spørgsmål,"[('country', 'Finland')]",Finland's hovedstad er Helsinki med en befolkning på ukendt.,True,4.4,7.8,False,,lave mad,morning
cabc6e48-cc47-4a30-a23a-b8b2df7b73d4,5,Jeg skal vågne klokken 07:00,Jeg altså skal jo vågne klokken 07:00,[EN] Jeg [...],alarm,"[('time', '07:00')]",Du får en alarm klokken 07:00. Godnat! ,True,4.0,8.1,False,,,morning
b4bee31c-e5a9-40f4-8f80-3f380b8c6839,2,Hvad nå er der sket inden for ?,Hvad nå er der sket inden for  lige nu?,[EN] er Hvad [...],nyheder,[],Dagens nyheder inden for transport: [Oversigt],True,4.3,7.3,False,,,afternoon
5fcf746b-0a76-468e-a43c-e7f5b3890582,2,Vis overskrifter fra sådan i dag,Få mig overskrifter fra sådan i dag,[EN] fra sådan [...],nyheder,[],Jeg har følgende nyheder om uddannelse: [Rapport],False,4.0,7.2,False,,,morning
4a64b919-5fe5-4418-a1e9-610442eba0c5,1,Find mig nyheder om fra i dag,Find mig nyheder om fra i dag,[EN] mig fra i [...],nyheder,[],Jeg har følgende nyheder om kultur: [Rapport],True,4.7,7.1,False,,,morning
5ab7ebae-8ebe-4d89-94af-5c233b75d2d2,1,Hvad er der sket inden øhm for underholdning?,Hvad er der sket inden øhm for underholdning.,[EN] underholdning? Hvad der [...],nyheder,[],Hvilken type nyheder ønsker du?,True,4.3,7.1,True,,,afternoon
b36a251a-e87c-4e55-a736-eade8b7a2400,3,"Efter tjekke emails, skal jeg aflevere nå rapporten","Efter tjekke emails, skal jeg aflevere nå rapporten",[EN] tjekke aflevere rapporten [...],påmindelse,"[('task', 'tjekke emails')]",Hvilken tid?. Alarm sat til 18:00.,True,4.0,8.1,True,,tjekke emails,night
ec1a6b28-48ac-4068-a253-1931c9086989,2,Jeg skal vågne klokken 10:00,Jeg skal vågne klokken 10:00,[EN] klokken 10:00 Jeg [...],alarm,"[('time', '10:00'), ('number', '1'), ('number', '10')]",Alarm konfigureret til 10:00. Husk at gå tidligt i seng! ,True,4.0,7.5,False,,,morning
31ceeb35-90ec-4b09-861e-7b88f759bc81,2,Jeg har brug for en alarm klokken 10:00,Jeg har brug for en alarm hvad klokken 10:00,[EN] brug 10:00 alarm klokken [...],alarm,"[('time', '10:00'), ('number', '10')]",Du vil blive vækket klokken 10:00. Godnat! ,True,4.0,7.5,False,,,night
354d891a-ae0b-41f8-b7e7-fcc776e38388,1,Vis mig nyheder om altså sport,Giv mig seneste nyt om altså sport,[EN] sport altså [...],nyheder,"[('topic', 'sport')]",Aktuelle nyheder om sport: [Resumé],True,4.6,7.3,False,,,afternoon
b097bc00-ba57-4ac7-a346-5a1ae4687055,3,Aalborg,Aalborg,[EN] Aalborg [...],vejrudsigten,"[('city', 'Aalborg')]",Vejrudsigt for Aalborg: regn Aftenen bliver ,True,4.4,7.7,False,Aalborg,,evening
0c57c9d0-2c41-4f40-b6af-d880c5e719e9,1,Vær sød at sådan vække mig klokken 08:30,Vær øhm sød at sådan sådan vække mig klokken 08:30,[EN] sådan sød klokken Vær vække [...],alarm,"[('time', '08:30'), ('number', '8')]",Alarm konfigureret til 08:30. Husk at gå tidligt i seng! ,True,4.2,7.2,False,,,morning
884d95d1-48bf-40b3-8b23-e08205e023a7,2,træne,træne,[EN] træne [...],påmindelse,"[('task', 'træne')]",Hvilken tid?. Alarm sat til 13:45.,True,4.6,7.8,True,,træne,night
d85b6048-a7a4-401d-ac24-4f724c9f9950,2,Opret påmindelse for tage medicin kl. 10:00,Opret påmindelse for tage medicin kl. 10:00,[EN] kl. for [...],påmindelse,"[('task', 'tage medicin'), ('time', '10:00'), ('number', '1'), ('number', '10')]",Du bliver mindet om tage medicin klokken 10:00.,True,4.0,7.7,False,,tage medicin,night
2f175008-20ef-4d11-a35a-409cf50877ba,4,okay Alarm jo til 08:30 tak,okay Alarm jo til 08:30 tak,[EN] jo tak 08:30 [...],alarm,"[('time', '08:30'), ('number', '3'), ('number', '8'), ('number', '30')]",Alarm sat til klokken 08:30. Husk at gå tidligt i seng! ,True,4.1,8.1,False,,,night
dee18163-6035-4fb3-8e70-aefa6ef4fe58,4,København,København,[EN] København [...],vejrudsigten,"[('city', 'København')]",I morgen bliver det snebyger i København I aften kommer der ,True,4.3,7.8,False,København,,morning
bf84e278-5c13-4a6e-8054-068451962de6,3,Væk mig klokken 07:00,Væk mig klokken 07:00,[EN] klokken Væk [...],alarm,[],Alarm sat til klokken 08:30. Husk at gå tidligt i seng! ,True,4.9,7.6,False,,,morning
b2a3b6ce-1feb-40d2-8c0e-b11beb0ec9c3,1,Er der solskin i Silkeborg nu?,Er der hvad solskin øhm i Silkeborg altså nu lige nu?,[EN] solskin Silkeborg [...],vejrudsigten,"[('city', 'Silkeborg')]",I dag bliver det let overskyet i Silkeborg med op til 18 grader. Aftenen bliver ,True,4.4,7.2,False,Silkeborg,,afternoon
97620e4c-433e-45f8-bbda-62712d1d3e93,1,Hvordan ser vejret ud i weekenden i Næstved?,Hvordan er det med ser vejret ud i weekenden i Næstved for mig?,[EN] weekenden vejret Næstved? i Hvordan [...],vejrudsigten,[],"Goddag, skal det være for en bestemt by?. Her er vejret i Randers.",False,4.8,7.1,True,,,morning
e7a5aae3-67bd-4d9c-b2de-437a0dc65482,1,altså Mind mig om aflevere rapporten når klokken er 15:30,altså Mind mig om aflevere rapporten når klokken er 15:30,[EN] Mind klokken mig er rapporten [...],påmindelse,"[('task', 'aflevere rapporten'), ('time', '15:30'), ('number', '1'), ('number', '3'), ('number', '5'), ('number', '15'), ('number', '30')]",Jeg sætter påmindelse: aflevere rapporten klokken 15:30.,True,4.8,7.3,False,,aflevere rapporten,afternoon
1b30d23f-9086-49ab-8df1-105b127de27c,2,Og hvad med Esbjerg?,Og hvad med Esbjerg.,[EN] Esbjerg? hvad [...],vejrudsigten,"[('city', 'Esbjerg')]","Vejret i Esbjerg: Let skyet, maks 19 grader. Aftenen bliver ",True,4.7,7.6,False,Esbjerg,,afternoon
35631592-8c2e-49cc-9dac-8dc433510936,2,Hvad er 60 plus 86?,hvad Hvad er 60 plus 86 venligst?,[EN] 60 [...],spørgsmål,[],Danmarks statsminister er Mette Frederiksen.,True,3.7,7.5,False,,,night
5c52cb3c-2b55-4b8a-aa73-87ee6ad7bc3c,2,Hvornår måske startede 2. verdenskrig?,Hvornår måske startede 2. verdenskrig venligst?,[EN] Hvornår startede verdenskrig? [...],spørgsmål,[],Danmarks statsminister er Helle Thorning-Schmidt.,True,4.2,7.5,False,,,evening
e8d31d51-65f2-48f7-b0ee-f6781d4d84fe,2,nå Hvad er lige meningen med livet?,nå Hvad er lige meningen med livet tak?,[EN] nå med livet? [...],out_of_scope,[],Jeg kan desværre ikke svare på det.,False,1.7,6.2,False,,,morning
a0c41362-4d00-4afe-aa2d-a2f541151cc0,2,Jeg skal vågne klokken 21:15,Jeg skal vågne klokken 21:15,[EN] Jeg klokken [...],alarm,"[('number', '2'), ('number', '5'), ('number', '15'), ('number', '21')]",Alarm planlagt til 07:00. Husk at gå tidligt i seng! ,True,4.6,7.5,False,,,night
36507cce-bed6-4415-ad4f-ba0d1a16f1d7,2,købe ind,købe ind,[EN] ind [...],påmindelse,"[('task', 'købe ind')]",Jeg er ikke sikker på tidspunktet. Jeg sætter alarmen til 07:00.,True,4.5,7.8,True,,købe ind,night
cdd38eff-a58d-40a5-9aa7-aeaedd6681d2,2,Hvad er den bedste kaffe måske i måske verden?,Hvad er den bedste kaffe måske i måske verden lige nu?,[EN] kaffe er bedste måske [...],out_of_scope,[],Jeg har ikke information om det emne.,False,1.0,6.2,False,,,night
c0246216-a54f-4b80-86d2-0bdeb9b546a9,3,15:30,15:30,[EN] 15:30 [...],påmindelse,"[('time', '15:30'), ('number', '1'), ('number', '3'), ('number', '5'), ('number', '15')]",Jeg er ikke sikker på tidspunktet. Jeg sætter alarmen til 15:30.,True,4.0,7.9,True,,træne,night
8462cbe4-bae3-4295-a670-6532e7e1042c,1,altså Hvad er øhm de seneste nyheder?,altså Hvad er øhm de dagens vigtigste historier lige nu?,[EN] de altså [...],nyheder,[],Hvilken type nyheder ønsker du?,False,4.5,7.1,True,,,afternoon
de721582-8181-4dcc-b3a8-48288f793f23,3,Vis overskrifter fra i dag,Vis altså mig lige overskrifter fra i dag,[EN] overskrifter Vis [...],nyheder,[],Her er de seneste nyheder om miljø: [Nyhedssammendrag],True,3.9,7.5,False,,,night
5481ac15-68ff-434d-a8e5-ede553130ef9,3,hente børn,hente børn,[EN] hente [...],påmindelse,"[('task', 'hente børn')]",Hvilken tid?. Alarm sat til 18:00.,True,4.1,8.2,True,,hente børn,night
723fa9b4-d669-44f7-ad95-5e95bf31f54a,1,Har du nyheder om videnskab?,Har du nyheder om videnskab.,[EN] om [...],nyheder,"[('word', 'viden'), ('topic', 'videnskab')]",Her er de seneste opdateringer om videnskab: [Info],True,4.1,7.3,False,,,afternoon
3c9fe364-b2c7-4ddd-ac65-3491b45945b3,1,Skal jeg tage paraply måske med i Vejle?,Skal jeg tage paraply måske med i Vejle i dag?,[EN] måske tage Vejle? jeg [...],vejrudsigten,"[('city', 'Vejle')]"," I forhold til i går, For Vejle forventes skyet med temperaturer omkring 20 grader. I aften kommer der ",True,4.1,7.2,False,Vejle,,night
f45cbfe6-992e-48df-8492-b2f20f91ca31,1,Sæt en vækkeur til 10:00,Sæt lige en vækkeur til 10:00,[EN] Sæt [...],alarm,"[('time', '10:00'), ('number', '1'), ('number', '10')]",Alarm planlagt til 10:00. Husk at gå tidligt i seng! ,True,4.0,7.2,False,,,night
2d4f4bb4-0ea1-4e6b-88d7-50e8b79fe715,1,Opret påmindelse for bestille tid kl. 15:30,Opret påmindelse for bestille tid kl. 15:30,[EN] for 15:30 Opret [...],påmindelse,"[('task', 'bestille tid'), ('number', '1'), ('number', '5'), ('number', '15'), ('number', '30')]",Jeg er ikke sikker på tidspunktet. Jeg sætter alarmen til 13:45.,True,4.3,7.4,True,,bestille tid,morning
79fbdc69-a3fc-41c7-88c9-4b6e9ffe4798,2,Vis vejrudsigten for øhm København,Find vejrudsigten for øhm København,[EN] København øhm Vis [...],vejrudsigten,"[('city', 'København')]"," Som du spurgte om tidligere, København kan forvente klar himmel i dag med en højeste temperatur på 22 grader. Aftenen bliver ",True,4.0,7.5,False,København,,night
8dce6d6f-2232-435e-9ce6-97bcf57685e0,1,Hvornår startede 2. verdenskrig?,Hvornår startede 2. verdenskrig i dag?,[EN] verdenskrig? [...],spørgsmål,"[('number', '2')]",78 + 47 = 125.,True,4.6,7.3,False,,,night
ed9055f8-3c67-48df-b8bb-ed516cc277a9,3,Hvad er kvadratroden af 144?,Hvad er kvadratroden af 144 venligst?,[EN] Hvad [...],out_of_scope,"[('number', '1'), ('number', '4'), ('number', '14'), ('number', '44')]","Beklager, jeg kan ikke hjælpe med det.",False,1.1,5.8,False,,,night
730ff15f-513f-44cd-a0e7-5961abeadd81,2,Hvad er kvadratroden af 144?,Hvad er kvadratroden af 144 for mig?,[EN] Hvad [...],out_of_scope,"[('number', '4'), ('number', '14')]","Beklager, jeg kan ikke hjælpe med det.",False,2.9,6.2,False,,,morning
4d63f896-8a41-4715-be4b-49d6116f7ea8,3,Hvad er hovedstaden i Portugal?,Hvad er hovedstaden i Portugal tak?,[EN] hovedstaden er [...],spørgsmål,[],Danmarks statsminister er Mette Frederiksen.,True,4.2,7.7,False,,,night
e560d207-cb0f-40cf-b13d-cefaba47f81d,3,Hvad sker der i verden?,Hvad sker der i verden for mig?,[EN] sker Hvad [...],nyheder,[],Her er de seneste opdateringer om klimaændringer: [Info],False,4.4,7.6,False,,,night
47ca8bce-1c4e-46a8-8c19-b12088e616eb,2,måske Jeg nå har brug for en alarm klokken 21:15,måske Jeg nå har brug for en alarm klokken 21:15,[EN] måske nå Jeg for [...],alarm,"[('number', '2'), ('number', '5'), ('number', '15'), ('number', '21')]",Alarm sat til klokken 09:15. Husk at gå tidligt i seng! ,True,4.0,7.5,False,,,morning
c7b547e1-39bb-40fd-b7f2-4b4850df0900,2,Hvordan måske er vindforholdene nå i Næstved?,Hvordan er det med måske er vindforholdene nå i Næstved.,[EN] vindforholdene i nå [...],vejrudsigten,"[('city', 'Næstved')]","Vejret i Næstved: Let skyet, maks 19 grader. I aften kommer der ",True,4.4,7.6,False,Næstved,,night
375f4a8f-449a-4fa3-8d74-6170d5be1780,3,Hvad er nyhederne om ?,Hvad er nyhederne om  tak?,[EN] om nyhederne [...],nyheder,[],Hvilket emne interesserer du dig for?,True,5.0,7.3,True,,,evening
20408ecc-2d39-43e3-b2a7-4d6702312c44,2,Giv mig nå seneste nyhedsopdatering,Giv mig nå seneste nyhedsopdatering,[EN] nå mig [...],nyheder,[],Er der et specifikt nyhedsemne du søger?,True,4.4,7.2,True,,,night
6e5f0cbd-6085-4243-8035-7bc3b8eed871,3,Find mig nyheder hvad om miljø fra lige i dag,Find mig nyheder hvad om miljø fra lige i dag,[EN] dag mig lige om Find hvad [...],nyheder,"[('topic', 'miljø')]",Her er de seneste opdateringer om miljø: [Info],True,4.0,7.7,False,,,night
a5d93b4c-1cc8-4dc2-9c3b-1bf50da53685,2,Hvad er definitionen af arbejde?,Hvad er definitionen af arbejde i dag?,[EN] definitionen arbejde? [...],spørgsmål,"[('word', 'arbejde')]",På engelsk oversættes 'arbejde' til 'arbejdee'.,True,4.1,7.6,False,,,evening
4177e8cb-f648-48fa-ab1f-68a4a98e06fa,2,Hvad er der sket inden lige for underholdning?,Hvad er der sket inden lige for underholdning venligst?,[EN] sket lige [...],nyheder,"[('topic', 'underholdning')]",Fået! Her er nyheder om underholdning: [Oversigt],True,4.8,7.6,False,,,morning
e3f9c394-6b28-4ef7-be76-9300e8a7806d,3,Odense,Odense,[EN] Odense [...],vejrudsigten,"[('city', 'Odense')]","Vejret i Odense: Let skyet, maks 19 grader. Aftenen bliver ",True,4.0,7.7,False,Odense,,afternoon
5fd6be4c-d584-427d-9f6a-9386ae9d98ab,2,måske Hvad er lige den bedste kaffe i verden?,måske øv Hvad øv er lige den bedste kaffe i verden venligst?,[EN] Hvad i bedste den kaffe verden? [...],out_of_scope,[],Det spørgsmål kan jeg ikke besvare.,False,1.5,6.2,False,,,night
b093a3e3-9acf-4c23-a248-fb261ca418db,2,Kan sådan du synge en sang for mig?,Kan sådan du synge en sang for mig for mig?,[EN] sang sådan en [...],out_of_scope,[],Jeg kan desværre ikke svare på det.,False,1.0,6.2,False,,,afternoon
ccbd243b-c28e-4dc3-8b61-8b562bd294dd,4,besøge ven,besøge ven,[EN] ven [...],påmindelse,"[('task', 'besøge ven')]",Jeg er ikke sikker på tidspunktet. Alarm sat til 10:00.,True,4.7,8.5,True,,besøge ven,morning
fe1b2651-5d18-44db-be51-12ea991cfcd9,1,øhm Vis hvad vejrudsigten for Esbjerg,øhm Kan du vise hvad vejrudsigten for Esbjerg,[EN] Vis Esbjerg [...],vejrudsigten,"[('city', 'Esbjerg')]"," Sammenlignet med tidligere, Esbjerg kan forvente klar himmel i dag med en højeste temperatur på 20 grader. I aften kommer der ",True,3.7,7.2,False,Esbjerg,,night
be032353-4efb-4ec8-a5bf-db1497423578,1,Hvem er lige Danmarks statsminister?,Hvem er lige Danmarks statsminister.,[EN] Hvem statsminister? [...],spørgsmål,[],Danmarks statsminister er Lars Løkke Rasmussen.,True,3.6,7.2,False,,,morning
515a98f6-5b10-4ae9-994c-f32bb1358e40,2,Hvad er overskrifterne i dag?,Hvad er overskrifterne i dag tak?,[EN] dag? Hvad overskrifterne [...],nyheder,[],Hvilket emne interesserer du dig for?,False,4.7,7.4,True,,,evening
437b7f28-965b-4b11-b64c-a12bd42becb1,1,øv Sæt en påmindelse til måske 10:00 om øv at aflevere okay rapporten,øv Lav en påmindelse til måske 10:00 om øv at aflevere okay rapporten,[EN] okay måske om at en påmindelse Sæt [...],påmindelse,"[('number', '1'), ('number', '10')]",Hvilken opgave? Påmindelse sat for 'bestille tid'.,True,4.4,7.2,True,,,morning
b80a7bdf-f959-4654-a08f-fbaa1eaf54c8,4,lige Vis vejrudsigten for Kolding,lige Find vejrudsigten for Kolding,[EN] for Kolding vejrudsigten [...],vejrudsigten,"[('city', 'Kolding')]",I morgen bliver det solrigt i Kolding Aftenen bliver ,True,4.3,8.1,False,Kolding,,morning
dc1e6b82-f072-4bad-aff6-d7d0f38ed4f8,1,Hvad okay er 4 hvad plus sådan 34?,Hvad okay er 4 hvad plus sådan 34 tak?,[EN] 34? plus Hvad er [...],spørgsmål,"[('number', '3'), ('number', '4'), ('number', '34')]",17 + 96 = 113.,True,4.8,7.3,False,,,morning
3e56fa96-7a4c-4f8e-ba35-12ebf537b067,1,hvad Skal jeg tage paraply altså med i Roskilde?,hvad Skal jeg tage paraply altså med i Roskilde.,[EN] med tage altså i paraply [...],vejrudsigten,"[('city', 'Roskilde')]"," Som du spurgte om tidligere, I morgen bliver det solrigt i Roskilde I aften kommer der ",True,4.2,7.2,False,Roskilde,,night
c41eb93f-c6ec-41af-874b-a7bc73c545d7,1,Hvornår blev Danmark medlem af EU?,Hvornår blev Danmark medlem af EU lige nu?,[EN] blev af medlem Hvornår [...],spørgsmål,[],Danmarks statsminister er Lars Løkke Rasmussen.,True,4.9,7.2,False,,,evening
5fdc4dd1-4d16-42a8-9163-b09b255c1e1f,2,måske Hvornår startede 2. verdenskrig?,måske Hvornår startede 2. verdenskrig lige nu?,[EN] verdenskrig? 2. startede [...],spørgsmål,[],Danmarks statsminister er Lars Løkke Rasmussen.,True,4.9,7.4,False,,,night
5edaa865-2bfc-4f22-aef5-490e2628304c,1,Hvad er nyhederne om ?,Hvad er nyhederne om  tak?,[EN] ? om er [...],nyheder,[],Seneste nyt om teknologi: [Nyhedsopsummering],True,4.1,7.1,False,,,afternoon
20075e65-c708-405f-9f84-8564194f9cf5,2,altså Hvad er altså din mening om kunstig intelligens?,altså Hvad er altså din mening om kunstig intelligens lige nu?,[EN] din mening kunstig om [...],out_of_scope,[],"Beklager, jeg kan ikke hjælpe med det.",False,2.1,6.2,False,,,morning
bf67898b-d5a3-4be1-b633-7e3e5bf3ea39,3,Vil det sne i Horsens i morgen?,Vil det sne i Horsens i morgen for mig?,[EN] sne Horsens [...],vejrudsigten,[],"Goddag, jeg kunne ikke genkende byen. Her er vejret i Horsens.",True,4.5,7.6,True,Horsens,,night
c2730414-ba3e-4d8a-827e-6353e63ba020,2,Jeg skal gå til lægen klokken,Jeg skal gå til lægen klokken,[EN] gå Jeg lægen [...],påmindelse,"[('task', 'gå til lægen')]",Hvad skal jeg minde dig om? Jeg sætter påmindelse for 'bestille tid'.,True,5.0,7.8,True,,gå til lægen,night
52c928a9-0554-497b-b9d0-1b524881fc8a,1,Hvem er den jo bedste fodboldspiller nogensinde?,Hvem er den jo bedste fodboldspiller nogensinde i dag?,[EN] er fodboldspiller [...],out_of_scope,[],Jeg har ikke information om det emne.,False,1.9,6.6,False,,,morning
7daeb4ac-a675-46f8-abe6-616b4188ba32,2,Hvad er jo den bedste kaffe i verden?,Hvad er jo den bedste kaffe i verden i dag?,[EN] er jo den kaffe bedste [...],out_of_scope,[],Jeg har ikke information om det emne.,False,1.7,6.2,False,,,morning
